iteration,sse
1,31.323586705770744
2,8.876297424849023
3,3.130627473512615
4,1.85406503265326
5,1.5299703945025511
6,1.397167110174096
7,1.320073129630793
8,1.2664720145991253
9,1.2255460557945805
10,1.192621907450674
11,1.1652896974863687
12,1.1421392638220371
13,1.1222659091303218
14,1.1050483000117375
15,1.0900372434322674
16,1.0768949622452353
17,1.0653595331576775
18,1.0552228240534152
19,1.0463161346299574
20,1.0385004683863173
21,1.0316597159171859
22,1.025695739754179
23,1.0205247430744802
24,1.0160745304988335
25,1.0122824045162244
26,1.0090935247867354
27,1.006459611067672
28,1.0043379055609236
29,1.0026903340438003
30,1.001482821337968
31,1.0006847280134779
32,1.000268383338649
33,1.00020869533934
34,1.0004828231854348
35,1.0010699003243324
36,1.00195079924603
37,1.0031079306005664
38,1.004525070858235
39,1.0061872137878862
40,1.008080441944131
41,1.0101918150174374
42,1.0125092724806821
43,1.0150215483987841
44,1.017718096629309
45,1.020589024939626
46,1.0236250367947966
47,1.026817379774747
48,1.030157799737575
49,1.0336384999776518
50,1.0372521047396988
51,1.0409916265436072
52,1.0448504368497864
53,1.048822239664263
54,1.052901047733339
55,1.0570811610278268
56,1.061357147254805
57,1.0657238241703273
58,1.070176243492206
59,1.0747096762419095
60,1.0793195993610472
61,1.0840016834691377
62,1.0887517816452248
63,1.0935659191280234
64,1.0984402838438154
65,1.103371217677421
66,1.1083552084196546
67,1.113388882318387
68,1.1184689971835768
69,1.123592435989692
70,1.1287562009324668
71,1.1339574078964443
72,1.139193281299506
73,1.144461149278683
74,1.1497584391867832
75,1.1550826733792463
76,1.1604314652558603
77,1.1658025155487568
78,1.171193608824889
79,1.1766026101941884
80,1.1820274622022884
81,1.187466181894004
82,1.1929168580363996
83,1.198377648486494
84,1.2038467776943602
85,1.2093225343321392
86,1.2148032690376838
87,1.2202873922673985
88,1.225773372247474
89,1.231259733019992
90,1.23674505257581
91,1.2422279610670128
92,1.2477071390976517
93,1.2531813160841871
94,1.2586492686826631
95,1.2641098192784197
96,1.269561834535875
97,1.275004224001738
98,1.2804359387619573
99,1.2858559701476997
100,1.291263348487432
